,Unnamed: 0.1,Unnamed: 0,bia_di,bii_di,bit_di,che_de,che_di,elb_di,wri_di,kne_di,ank_di,sho_gi,che_gi,wai_gi,nav_gi,hip_gi,thi_gi,bic_gi,for_gi,kne_gi,cal_gi,ank_gi,wri_gi,age,wgt,hgt,sex
0,401,169,42.3,30.2,34.4,25.4,32.2,15.2,10.7,18.8,14.8,125.3,114.0,98.5,103.8,108.1,61.3,37.2,31.4,41.9,42.1,26.4,17.9,29,96.8,177.8,1
1,433,83,43.0,26.5,31.6,20.6,29.5,13.4,10.4,18.8,13.6,113.2,94.7,77.5,80.5,92.0,54.2,30.9,26.6,36.5,35.8,21.3,16.5,25,72.7,180.6,1
2,353,213,42.5,29.4,34.4,19.9,34.0,14.5,11.0,21.3,14.4,124.5,103.4,93.8,92.7,112.2,66.2,34.8,30.1,45.7,43.6,26.9,17.0,30,91.1,175.3,1
3,394,178,41.3,30.8,33.3,22.5,28.3,13.0,10.5,19.7,13.4,117.3,107.2,89.9,94.7,107.1,59.2,35.3,26.9,36.6,32.3,22.0,17.1,34,81.8,177.8,1
4,376,102,42.0,28.0,33.0,18.1,28.4,14.3,11.1,20.2,15.2,114.0,88.5,77.0,79.0,93.0,51.7,33.5,27.9,38.4,38.5,22.5,17.5,22,73.2,177.3,1
5,157,379,35.0,27.1,30.1,19.5,24.9,12.4,9.9,18.2,12.5,96.8,85.9,69.1,77.2,94.1,56.2,28.9,23.1,35.0,34.4,20.0,15.0,20,59.8,167.0,0
6,155,358,38.2,25.9,30.2,16.9,24.8,11.7,9.4,16.9,11.7,102.2,80.5,69.5,81.0,95.2,56.2,27.4,23.8,35.4,34.0,21.3,15.2,27,56.6,166.8,0
7,420,28,40.5,28.3,33.4,19.2,28.8,14.6,11.1,20.8,14.5,116.0,88.0,73.5,77.7,97.0,56.3,32.5,27.8,39.0,38.2,23.5,17.8,24,76.4,180.3,1
8,53,385,34.1,18.7,27.2,16.1,24.6,11.2,9.5,16.1,11.9,92.0,83.0,63.0,72.0,86.0,53.0,24.1,22.0,30.0,31.2,20.4,14.4,28,48.8,160.0,0
9,87,463,36.0,29.2,33.5,17.5,27.8,11.6,10.5,18.7,14.2,107.7,91.1,76.4,98.3,107.0,64.5,32.8,24.8,36.5,36.2,23.9,15.5,35,70.5,161.3,0
10,6,321,36.9,26.4,32.4,16.6,26.0,12.6,10.5,18.9,14.4,100.1,85.6,62.7,74.0,96.0,61.5,28.0,23.6,35.4,38.5,21.3,15.4,22,59.3,152.0,0
11,36,383,36.4,27.7,29.8,17.0,25.0,11.2,9.0,16.9,12.2,94.0,80.3,65.0,73.3,84.9,50.8,25.0,22.2,31.6,31.6,18.8,14.2,23,46.4,158.2,0
12,45,363,35.0,25.0,27.2,15.4,23.4,10.8,8.7,16.8,12.2,98.5,80.8,67.5,75.4,85.8,53.8,24.8,21.5,33.0,33.0,20.0,14.0,26,47.6,159.5,0
13,233,490,35.8,27.3,28.5,18.2,23.5,11.2,10.2,17.5,12.9,92.4,80.4,64.5,81.7,88.4,52.4,25.5,23.0,34.5,32.7,20.3,14.9,26,55.5,174.0,0
