,Unnamed: 0.1,Unnamed: 0,bia_di,bii_di,bit_di,che_de,che_di,elb_di,wri_di,kne_di,ank_di,sho_gi,che_gi,wai_gi,nav_gi,hip_gi,thi_gi,bic_gi,for_gi,kne_gi,cal_gi,ank_gi,wri_gi,age,wgt,hgt,sex
0,29,485,32.9,26.8,28.7,16.3,24.4,11.0,8.6,16.4,12.6,94.9,84.2,66.4,79.3,92.0,53.4,24.9,22.3,32.5,31.7,21.7,13.4,27,54.5,157.5,0
1,160,464,35.6,28.3,28.0,14.4,23.7,11.7,9.6,16.4,13.0,95.4,80.1,63.8,72.5,86.3,51.5,24.4,22.0,32.0,32.6,21.0,14.0,27,52.7,167.6,0
2,441,65,40.3,29.5,33.3,18.4,26.2,14.0,11.0,19.4,14.8,108.7,93.4,75.0,79.2,94.0,53.8,34.2,27.9,36.1,36.2,22.0,17.5,23,72.0,182.0,1
3,60,473,35.1,26.6,29.2,17.0,24.4,11.8,9.4,17.0,12.2,94.4,82.5,65.6,81.8,92.8,56.2,28.8,24.7,33.0,34.6,21.7,15.8,32,55.4,160.0,0
4,217,353,35.7,27.0,29.8,16.5,26.2,12.1,9.6,18.0,13.6,96.4,82.5,67.1,75.0,90.4,53.2,27.3,23.6,35.9,36.6,23.8,15.3,25,56.2,171.8,0
5,340,214,38.5,24.4,30.4,18.0,29.9,14.3,10.1,18.3,13.2,112.4,100.3,79.1,80.4,94.3,51.0,32.6,27.2,36.1,32.7,22.5,17.9,32,67.3,175.3,1
6,16,325,35.1,28.1,30.0,17.1,25.2,12.0,9.6,19.0,14.2,90.5,79.0,63.0,79.2,86.6,48.5,26.4,22.5,32.2,30.3,20.2,15.0,48,45.9,155.0,0
7,17,374,34.0,27.8,29.6,16.5,24.4,9.9,8.9,17.0,11.5,91.9,80.4,64.0,85.0,92.6,54.8,25.6,20.7,32.7,31.5,18.9,13.4,32,49.2,155.0,0
8,48,335,34.5,25.6,29.2,18.0,24.2,10.1,9.0,16.3,11.5,89.5,77.5,64.9,74.5,88.4,53.4,25.6,22.4,30.9,32.6,19.1,14.0,20,50.0,159.8,0
9,141,400,34.9,28.0,33.1,18.0,26.1,12.6,9.6,18.8,12.2,101.5,86.0,70.6,91.9,101.9,62.0,29.1,24.2,37.2,33.1,19.9,15.0,44,64.1,165.1,0
10,309,57,39.7,28.6,32.1,19.1,27.1,13.4,10.0,18.2,14.8,104.3,91.3,72.7,83.2,91.4,51.2,27.8,26.0,34.8,34.7,21.1,15.3,52,61.4,171.5,1
11,127,355,38.8,26.3,31.5,19.0,25.9,11.6,9.9,18.8,13.1,103.4,88.3,71.0,87.1,98.7,59.2,28.2,23.6,35.6,35.8,20.8,15.5,23,59.8,164.3,0
12,199,326,38.8,27.2,33.4,17.2,31.6,12.9,11.0,18.2,13.4,110.5,96.2,78.5,93.4,103.0,59.6,30.2,25.9,37.0,35.2,23.2,16.2,41,70.6,170.0,0
